id	ko
ta_mode_desc_goalpercent	모든 ‘골을 향해’ 스테이지에 도전합니다!\n나이트 팰리스를 완료하면 기록이 종료됩니다.
ta_mode_desc_bossrush	모든 보스 스테이지에 도전합니다!\n알프 라일라 와 라일라를 쓰러뜨리면 기록이 종료됩니다.
ta_start_desc	도전을 시작합니다!
ta_levellist_desc	이번 도전에 포함된 스테이지를 표시합니다.
ta_results_total	총 기록
ta_results	결과
ta_newrecord	신기록
ta_continue	도전 계속하기
ta_continue_desc	마지막으로 진행하던 도전을 계속합니다.
ta_alert_overwrite	현재 도전 기록을 덮어쓰시겠습니까?
ta_restartrun	도전 다시 시작
ta_restarts	재시작 횟수
spb_controls_random	무작위 재생
spb_controls_zoom	확대/축소
spb_controls_play	재생
spb_controls_hide	메뉴 표시 전환
spb_controls_move	이동
spb_controls_scale	크기
sys_options	옵션
option_mute	음소거
option_enable	켜기
option_disable	끄기
option_hold	길게 누르기
option_toggle	전환
option_both	둘 다
option_attack	공격
option_stomp	스톰프
option_high	높음
option_medium	중간
option_low	낮음
option_hard_shadows	하드 섀도
option_retail	원작
option_hud_e3	E3 2006
option_reignited	리이그나이티드
option_style1	스타일 1
option_style2	스타일 2
option_horizontal	가로
option_vertical	세로
option_video	화면
option_audio	사운드
option_lang	언어
option_control	조작
option_interface	인터페이스
option_reset_settings	설정 초기화
option_reset_controls	조작 설정 초기화
option_target_display	대상 디스플레이
option_display	디스플레이 0
option_window_size	창 크기
option_aspect	화면 비율
option_fullscreen	전체 화면
option_fullscreen_mode	전체 화면 모드
option_custom	사용자 지정
option_normal_fullscreen	테두리 없음
option_exclusive_fullscreen	독점 전체 화면
option_target_fps	목표 프레임률
option_unlimited_fps	제한 없음
option_fps	0 FPS
option_vsync	수직 동기화
option_render_scale	렌더링 배율
option_resize_mode	크기 조정 모드
option_antialiasing	안티앨리어싱
option_post_processing	후처리
option_bloom	블룸 품질
option_shadow	그림자 품질
option_reflection	반사 품질
option_screen_shake	화면 흔들림
option_motion_blur	모션 블러
option_main_vol	전체 음량
option_bgm_vol	음악 음량
option_sfx_vol	효과음 음량
option_voice_vol	음성 음량
option_level_select_music	미션 선택 음악
option_sub_toggle	자막
option_dialog_toggle	게임 내 대사
option_text_lang	텍스트 언어
option_voice_lang	음성 언어
option_controller_ui	버튼 유형
option_deadzone	스틱 데드존
option_break_mode	브레이크 스킬 방식
option_jump_mode	점프 버튼 방식
option_gyro	자이로 설정
option_mouse	마우스 설정
option_mapping	버튼 배치 변경
option_party_mapping	파티 버튼 배치 변경
option_mapping_test	조작 테스트
option_controller_auto	자동 감지
option_controller_ps	PlayStation
option_controller_xbox	Xbox
option_controller_nintendo	Nintendo
option_controller_steam	Steam
option_awaiting_input	입력을 기다리는 중…
option_mouse_mode	마우스 모드
option_mouse_positional	위치 기반
option_mouse_motional	동작만
option_mouse_vertical_tracking	세로 추적
option_mouse_motion_sensitivity	동작 감도
option_mouse_deadzone	위치 데드존
option_mouse_horizontal_range	가로 범위
option_mouse_vertical_range	세로 범위
option_mouse_vertical_offset	세로 오프셋
option_gyro_mode	자이로 모드
option_gyro_deadzone	자이로 데드존
option_gyro_sensitivity	자이로 감도
option_hud_style	HUD 스타일
option_button_style	버튼 스타일
option_soul_style	소울 게이지 스타일
option_action_prompts	액션 안내
option_branding	브랜딩
option_ingame_subtitle_opacity	게임 내 자막 불투명도
option_cutscene_subtitle_opacity	컷신 자막 불투명도
option_levelmods_enabled	레벨 MOD
option_charamods_enabled	캐릭터 MOD
option_langmods_enabled	언어 MOD
option_mod_folder	MOD 폴더 열기
option_player	플레이어
option_device	컨트롤러
option_player_number	플레이어 0
option_device_number	컨트롤러 0
option_reset_settings_description	옵션을 기본 설정으로 초기화하시겠습니까?
option_reset_controls_description	버튼 배치를 기본 설정으로 초기화하시겠습니까?
option_quick_load	빠른 로딩(실험 기능)
option_quick_load_alert	빠른 로딩을 사용하시겠습니까?\n이 옵션은 로딩 시간을 줄이지만 일부 컴퓨터에서 드물게 게임이 종료될 수 있습니다.\n\n(옵션 메뉴에서 언제든 변경할 수 있습니다.)
move_up	위
move_down	아래
move_left	왼쪽
move_right	오른쪽
button_jump	점프
button_action	액션
button_speedbreak	스피드 브레이크
button_timebreak	타임 브레이크
button_pause	일시정지
button_attack	공격
button_brake	브레이크
button_light_dash	라이트 스피드 대시
button_step_left	왼쪽 스텝
button_step_right	오른쪽 스텝
button_primary	주 액션
button_secondary	보조 액션
camera_up	위 보기
camera_down	아래 보기
camera_left	왼쪽 보기
camera_right	오른쪽 보기
lang_local	한국어
lang_en	영어
lang_ja	일본어
lang_es	스페인어
lang_fr	프랑스어
lang_it	이탈리아어
lang_de	독일어
lang_pt_BR	브라질 포르투갈어
lang_pl	폴란드어
lang_zh	중국어
lang_tr	튀르키예어
lang_se	스웨덴어
lang_es_US	스페인어(라틴 아메리카)
lang_ru	러시아어
action_jump	점프
action_exit	나가기
action_launch	발사
action_ascend	상승
action_shuffle	셔플
action_grindstep	그라인드 스텝
action_stomp	스톰프
action_swing	스윙
action_charge	차지
action_attack	공격
action_pull	당기기
action_escape	탈출
unlock_mission	새 미션이 스테이지 선택 목록에 추가되었습니다!
unlock_mission_multiple	새 미션들이 스테이지 선택 목록에 추가되었습니다!
unlock_skill	새 스킬을 사용할 수 있게 되었습니다!
unlock_skill_multiple	새 스킬들을 사용할 수 있게 되었습니다!
unlock_page	스페셜 북에\n새 페이지가 추가되었습니다!
unlock_page_multiple	스페셜 북에\n새 페이지들이 추가되었습니다!
unlock_world	[AREA]이(가) 추가되었습니다!\n월드 선택에서 고를 수 있습니다.
unlock_ring_sand_oasis	기쁨의 링을 획득했습니다!
unlock_ring_dinosaur_jungle	증오의 링을 획득했습니다!
unlock_ring_evil_foundry	분노의 링을 획득했습니다!
unlock_ring_levitated_ruin	기도의 링을 획득했습니다!
unlock_ring_pirate_storm	즐거움의 링을 획득했습니다!
unlock_ring_skeleton_dome	소원의 링을 획득했습니다!
unlock_ring_night_palace	슬픔의 링을 획득했습니다!
unlock_minigame	파티 모드에\n새 미니게임이 추가되었습니다!
unlock_fire_soul	FIRE S@UL을 획득했습니다!
unlock_time_attack	타임 어택 모드를 사용할 수 있게 되었습니다!\n메인 메뉴에서 선택할 수 있습니다.
mission_tutorial01	제01절
mission_tutorial02	제02절
mission_tutorial03	제03절
mission_tutorial04	제04절
mission_tutorial05	제05절
mission_tutorial06	제06절
mission_tutorial07	제07절
mission_tutorial08	제08절
mission_tutorial09	제09절
mission_tutorial10	제10절
mission_tutorial11	제11절
mission_tutorial12	제12절
mission_tutorial13	제13절
mission_tutorial14	제14절
mission_tutorial15	제15절
mission_tutorial16	제16절
mission_tutorial17	제17절
mission_tutorial18	제18절
mission_tutorial19	제19절
mission_tutorial20	제20절
mission_tutorial21	제21절
mission_locked	??????
mission_goal	골을 향해
mission_special	스페셜 챌린지
mission_deathless	다이하드 챌린지
mission_perfect	퍼펙트 챌린지
mission_time	비트 더 클록
mission_enemy	램페이지!
mission_enemyless	스텔스 어택
mission_race	헤드 투 헤드
mission_ring	링 수집
mission_ringless	핸즈 오프
mission_ring_chain	링 체인
mission_pearless	노 펄
mission_boss	보스 격파
mission_last	라스트 챕터
mission_description_locked	이 미션은 아직 열리지 않았습니다.
mission_description_goal	골을 향해 나아가라!
mission_description_charge_jump	차지 점프를 사용해\n골을 향해 나아가라!
mission_description_jump_dash	점프 대시를 사용해\n골을 향해 나아가라!
mission_description_homing_attack	호밍 어택으로\n마신 10마리를 쓰러뜨려라!
mission_description_brake	브레이크를 사용해\n골을 향해 나아가라!
mission_description_backstep	백스텝을 사용해\n링 25개를 모아라!
mission_description_accel_jump	숏 점프를 사용해\n골을 향해 나아가라!
mission_description_grind	그라인드를 사용해\n골을 향해 나아가라!
mission_description_speed_break	스피드 브레이크를 사용해\n골을 향해 나아가라!
mission_description_time_break	타임 브레이크를 사용해\n골을 향해 나아가라!
mission_description_volcano_slider	볼케이노 슬라이더로\n마신 3마리를 쓰러뜨려라!
mission_description_perfect_homing_attack	퍼펙트 호밍 어택으로\n마신 3마리를 쓰러뜨려라!
mission_description_fire_gaze	파이어 게이즈를 사용해\n나무 상자 20개를 부숴라!
mission_description_down_cancel	다운 캔슬을 사용해\n골을 향해 나아가라!
mission_description_backflip	백플립을 사용해\n링 25개를 모아라!
mission_description_splash_jump	스플래시 점프를 사용해\n골을 향해 나아가라!
mission_description_rocket_start	로켓 스타트를 사용해\n골을 향해 나아가라!
mission_description_quick_step	퀵 스텝을 사용해\n골을 향해 나아가라!
mission_description_quick_slide	퀵 슬라이드를 사용해\n골을 향해 나아가라!
mission_description_time_attack1	타임 어택 1\n스테이지를 최대한 빠르게 돌파하라!
mission_description_time_attack2	타임 어택 2\n스테이지를 최대한 빠르게 돌파하라!
mission_description_deathless	한 번도 쓰러지지 말고 나아가라!
mission_description_perfect	피해를 받지 말고 나아가라!
mission_description_race	우후보다 먼저 골에 도착하라!
mission_description_ringless	링을 하나도 갖지 않고 골에 도착하라!
mission_description_pearless	펄을 하나도 얻지 말고 나아가라!
mission_description_enemyless	마신을 쓰러뜨리지 말고 서둘러라!
mission_description_enemy_1	마신 1마리를 쓰러뜨려라!
mission_description_enemy_10	마신 10마리를 쓰러뜨려라!
mission_description_enemy_15	마신 15마리를 쓰러뜨려라!
mission_description_enemy_20	마신 20마리를 쓰러뜨려라!
mission_description_enemy_40	마신 40마리를 쓰러뜨려라!
mission_description_ring_10	링 10개를 모아라!
mission_description_ring_25	링 25개를 모아라!
mission_description_ring_50	링 50개를 모아라!
mission_description_ring_80	링 80개를 모아라!
mission_description_ring_99	링 99개를 모아라!
mission_description_ring_100	링 100개를 모아라!
mission_description_ring_chain_30	링 체인 30회를 달성하라!
mission_description_ring_chain_50	링 체인 50회를 달성하라!
mission_description_ring_chain_60	링 체인 60회를 달성하라!
mission_description_ring_chain_100	링 체인 100회를 달성하라!
mission_description_time_45	45초 안에 돌파하라!
mission_description_time_90	90초 안에 돌파하라!
mission_description_time_100	100초 안에 돌파하라!
mission_description_time_120	120초 안에 돌파하라!
mission_description_lp_main	이레이저 진을 찾아내라!
mission_description_so_main	샤흐리야르 왕궁으로 서둘러라!
mission_description_so_jar	항아리 5개를 부숴라!
mission_description_so_jarless	항아리를 깨지 말고 나아가라!
mission_description_so_boss	대결! 샌드 스코피온!
mission_description_dj_main	서둘러 익룡을 쫓아라!
mission_description_dj_genie_eggs	마신의 알 5개를 부숴라!
mission_description_dj_dino_eggs	공룡의 둥지에 알을 옮겨라!
mission_description_ef_main	최심부로 서둘러라!
mission_description_ef_time	제한 시간 안에 출구로 서둘러라!
mission_description_ef_boss	대결! 이프리트 골렘!
mission_description_lr_main	신드바드를 찾아내라!
mission_description_lr_cage	신드바드의 감옥을 열어라!
mission_description_ps_main	폭풍우 치는 바다를 건너 해적단을 쫓아라!
mission_description_ps_boss	대결! 캡틴 베모스!
mission_description_sd_main	솔로몬 왕을 찾아라!
mission_description_sd_bones	해골 왕의 뼈를 모아라!
mission_description_np_main	궁전 최심부로 돌입하라!
mission_description_np_boss	대결! 이레이저 진!
mission_description_np_last	라스트 챕터!
common_start_so	가자, 샤라!
common_start2_so	좋아,\n시작해 볼까!
common_start3_so	좋아,\n가자!
common_start4_so	간다, 샤라!
common_start_sh	조심해, 소닉!
common_start2_sh	행운을 빌게, 소닉!
common_start3_sh	재밌겠는걸!
common_start4_sh	소닉, 천천히 가!
common_advice_so	어떡하면 좋을까, 샤라?
common_advice_sh	계속 가야지, 당연히!
common_resolution_so	해 보자고!
common_resolution_sh	소닉, 잠깐만!
common_unknown_so	뭐야?
common_unknown_sh	음... 저건 뭐지?
common_confused_so	이봐! 무슨 일이야?
common_confused_sh	여기서 할 수 있는 일이 있을 것 같아.
common_concern_sh	괜찮아, 소닉?
common_concern2_sh	무리하지 마.
common_confident_so	나만 믿어!
common_goal_so	골을 향해 가자!
common_dizzy_so	와후!
common_dizzy2_so	좋았어, 끝내주는데!
common_dizzy3_so	야호!
common_dizzy_sh	으아아아!\n어지러워!
common_dizzy2_sh	꺄악!
common_dizzy3_sh	우, 우와아!
common_secret_so	좋아! 그럴 줄 알았어!
common_secret_sh	운이 좋네, 소닉!
common_collect_so	헤헤, 이건 내가 챙길게!
common_collect_sh	잘했어!
common_caution_so	샤라, 조심해!
common_caution_sh	으악!
common_caution2_so	여긴 조심해서 가자.
common_caution2_sh	조심해서 가.
common_jump_so	점프!
common_jump2_so	야호!
common_jump_sh	좋아!
common_jump2_sh	얍!
common_fall_so	우와!
common_fall2_so	아래 조심해!
common_fall_sh	떨어지고 있어!
common_fall2_sh	으아아아!
common_recovery_so	헤, 문제없어!
common_recovery2_so	잠깐 걱정했잖아.
common_recovery_sh	아슬아슬했어!
common_recovery2_sh	정말 아슬아슬했네!
common_worry_so	이봐, 걱정하지 마!
common_worry_sh	소닉, 괜찮아?
common_lap_sh	한 바퀴 돌았어!
common_lap_so	하나 끝! 아직 더 남았어!
common_end_so	좋아!
common_end_sh	조금만 더 힘내, 소닉!
common_halfway_so	알겠어!
common_halfway_sh	거의 절반쯤 왔어!
common_encourage_so	좋아, 알았다고!
common_encourage_sh	계속 가, 소닉!
common_up_so	위로 가자.
common_up_sh	저쪽 위로 가 봐.
common_up2_so	여기로 올라가 볼까.
common_up2_sh	여기로 올라가 보자.
common_down_so	아래로 가야겠어.
common_down_sh	아래로 가 보자.
common_down2_so	아래로 가 볼까.
common_down2_sh	아래로 가 보자.
common_feeling_so	왠지 불길한데.
common_feeling_sh	불길한 예감이 들어.\n조심해.
common_heights_so	우와. 여기선 떨어지면 안 되겠어.
common_heights_sh	떨어지지 않게 조심해.
common_enemy_so	이봐, 손님이 왔는데!
common_enemy2_so	이야, 누가 왔나 했더니!
common_enemy3_so	흥! 또 성가신 녀석들이군!
common_enemy4_so	헤, 전부 상대해 주지!
common_enemy5_so	우와, 여기도 있잖아?
common_enemy6_so	손이 좀 바쁘겠는걸.
common_enemy7_so	도대체 몇 마리야?!
common_enemy8_so	아하! 내 길을 막겠다는 거지?
common_enemy_sh	이레이저의 부하들이야!
common_enemy2_sh	조심해, 소닉!
common_enemy3_sh	해치워 버려, 소닉!
common_enemy4_sh	너무 방심하지 마, 소닉.
common_enemy5_sh	아, 소닉! 조심해!
common_enemy6_sh	소닉, 우리 괜찮을까?
common_enemy7_sh	끝이 없네!
common_enemy8_sh	쓰러뜨려, 소닉!
common_victory_so	하, 식은 죽 먹기였어!
common_victory2_so	정령들이 할 수 있는 게 이게 다야?
common_victory3_so	휴, 제법 거칠었는데!
common_victory4_so	이봐, 저 정도는 아무것도 아니지!
common_victory5_so	이봐, 문제없어.\n나만 믿어!
common_victory_sh	대단해, 소닉!
common_victory2_sh	방심하지 마, 소닉.\n아직 신경 쓸 일이 남았어.
common_victory3_sh	소닉, 다친 데 없어?
common_victory4_sh	잘했어, 소닉!
common_victory5_sh	소닉, 이번 건 꽤 아슬아슬했어!
common_red_majin_sh	조심해. 붉은 정령은 불을 뿜을 수 있어.
common_enemy_pearl_sh	소닉, 저 정령들을 쓰러뜨리면\n진주를 얻을 수 있어!
common_enemy_lock_sh	정령들을 쓰러뜨려야 해, 소닉.
common_enemy_lock2_sh	먼저 정령들을 모두 쓰러뜨려, 소닉.
common_hint_ring_sh	링이 하나라도 있으면\n맞아도 다치지 않아.
common_hint_fire_soul_sh	이 빨간 링은 파이어 소울이야.
common_hint_treasure_sh	저건 보물 상자야.\n열어서 안을 확인해 봐!
common_hint_thorn_spring_sh	가시가 없는 공에는\n호밍 어택을 사용할 수 있어.
common_hint_pot_sh	[button_action]을 눌러 위로 날아올라.
common_hint_pot_exit_sh	[button_jump]을 눌러\n날으는 항아리에서 내릴 수 있어.
common_hint_pot_tilt_sh	날아가는 동안 좌우로 기울이면\n이동할 수 있어.
common_hint_catapult3_sh	이 투석기는 이전 것과\n각도가 다른 것 같아.
common_hint_jump_carpet_sh	카펫을 타고 높이 날아오른 뒤\n호밍 어택을 하면,
common_hint_jump_carpet2_sh	더 높이 올라갈 수 있어.
common_hint_majin_stone_sh	이 돌에는 지니의 마력이 가득해.
common_hint_spikes_sh	저 가시를 조심해, 소닉!
common_hint_flames_sh	소닉, 불꽃을 조심해!
common_hint_spikeball_sh	가시 달린 공을 조심해, 소닉!
common_hint_ball_spin_sh	이것들이 너무 빨리 돌지 않게\n할 방법이 없을까?
common_hint_ball_spin_so	좀 더 천천히 돈다면\n훨씬 쉬울 텐데.
common_hint_murmur_sh	(소곤소곤...\n소닉, 이 소리를 들어 봐.)
common_hint_uhu_sh	(이 빛의 구체는 빠르기로 유명한\n바람의 지니 우후야.)
warning_nomods	설치된 모드 없음
warning_nomods_description	설치된 레벨 모드가 없습니다.
world_mods	MOD
world_mods_description	MOD 스테이지를 플레이합니다.
lost_prologue	로스트 프롤로그
lost_prologue_description	사라져 가는 서장.
lp_strafe_sh	좌우로 입력하면\n좌우로 이동할 수 있어.
lp_jump_sh	[button_jump]을 누르면 점프해!
lp_full_jump_sh	[button_jump]을 길게 누를수록\n더 높이 점프할 수 있어.
lp_lockon_sh	점프 중 록온 마크가 나타나면\n호밍 어택을 쓸 수 있다는 신호야.
lp_lockon2_sh	록온 마크가 녹색에서 빨간색으로\n바뀌면 [button_attack]을 눌러.
lp_brake_sh	[button_brake] 버튼을 누르면 브레이크야!
lp_backstep_sh	뒤로 입력하면 뒤로 이동할 수 있어.
lp_grind_sh	각진 모서리가 있는 곳에 올라가면\n그라인드할 수 있을 때가 있어.
lp_jumpdash_sh	점프 중 [button_attack]을 누르면\n점프 대시야.
lp_enemychain_sh	적을 빠르게 연속으로 쓰러뜨리면\n적 체인이 시작돼.
lp_enemychain2_sh	지면에 착지하면\n체인이 초기화돼.
lp_ring_chain_sh	링을 모으면\n링 체인이 시작돼.
lp_ring_chain2_sh	링 체인이 끝나면\n길이에 따라 점수 보너스를 받아.
lp_adv_grind_sh	그라인드 중 [button_action]을 누르면\n속도를 유지할 수 있어.
lp_adv_grind2_sh	[button_action]을 길게 눌렀다 떼면\n속도를 더 높일 수 있어.
lp_adv_grindstep_sh	좌우로 입력하면서 [button_jump]을 누르면\n그라인드 스텝이야.
lp_adv_grindstep2_sh	그라인드 스텝 중 [button_action]을 누르면\n근처 레일에 착지할 수 있어.
lp_adv_grindstep3_sh	그라인드 스텝에 성공하면\n스텝 보너스를 받아.
 	(Vous obtiendrez un bonus de score\nsi vous réussissez un Grind Step.)
lp_adv_accel_jump_sh	[button_jump]을 짧게 누르면\n숏 점프야.
lp_adv_accel_jump2_sh	숏 점프를 쓰면 빠르게\n최고 속도에 도달할 수 있어.
lp_pearls_sh	펄을 얻으면 소울 게이지가 차올라.
lp_speedbreak_desc_sh	스피드 브레이크 중에는\n초고속으로 달릴 수 있어.
lp_speedbreak_input_sh	소울 게이지가 차 있을 때\n[button_speedbreak]을 누르면 스피드 브레이크야.
lp_timebreak_desc_sh	타임 브레이크 중에는 주위의 시간을\n느리게 만들 수 있어.
lp_timebreak_input_sh	소울 게이지가 차 있을 때\n[button_timebreak]을 누르면 타임 브레이크야.
lp_perfect_homing_attack_sh	녹색 마크가 빨간 원과 겹칠 때 [button_attack]을 누르면\n퍼펙트 호밍 어택이야.
lp_perfect_homing_attack2_sh	퍼펙트 호밍 어택은 일반 호밍 어택보다\n이동 속도가 빠르고 공격력이 높아.
lp_perfect_homing_attack3_sh	퍼펙트 호밍 어택 중에는\n방어력도 높아져.
lp_volcano_slider_sh	[button_crouch]을 계속 누르면\n슬라이딩이야.
lp_volcano_slider2_sh	슬라이딩 중에는 적에게 피해를 주거나\n장애물을 부술 수 있어.
lp_fire_gaze_sh	점프 중 [button_action]을 누르면\n바로 아래를 공격할 수 있어!
lp_down_cancel_sh	피해를 받아 날아가는 동안 [button_jump]을 누르면\n곧바로 자세를 바로잡을 수 있어.
lp_backflip_sh	뒤로 이동하면서 [button_jump]을 짧게 누르면\n재빨리 뒤로 도약할 수 있어.
lp_splash_jump_sh	점프 대시로 벽에 부딪히면\n그대로 벽을 뛰어넘을 수 있어.
lp_quickstep_sh	전진하면서 [button_step_left]/[button_step_right]을 누르면\n좌우로 빠르게 스텝해.
lp_quickslide_sh	전진하면서 [button_step_left]/[button_step_right]을 길게 누르면\n좌우로 슬라이드해.
sand_oasis	샌드 오아시스
sand_oasis_description	사막에 펼쳐진 유적군.
oas_opening_so	우선 왕궁으로 가면 되는 거지?
oas_opening_sh	응, 서두르자!
oas_pillar_sh	마법으로 기둥이 움직이기 시작했어!\n조심해!
oas_uturn_sh	잠깐, 이 앞은 벽이야!
oas_uturn_so	살짝 유턴해야겠네.
oas_interior_sh	안은 시원하네.
oas_interior_so	그렇지도 않은 것 같은데.
oas_sandfall_event_sh	뭐, 뭐야!?
oas_sandfall_event_so	우와!
oas_sandfall_event2_so	하!
oas_sandfall_event3_so	휴! 큰일 날 뻔했네.
oas_pier_sh	저 부두만 지나면 바로 마을이야.
oas_town_so	정말? 이제 왕궁도 가까운 건가?
oas_palace_so	보인다! 저거구나.
oas_palace_sh	저기! 저게 왕궁이야.
oas_return_sh	준비는 다 됐어?
oas_return_so	샤라! 지금부터 내 스피드를 보여 줄게!
oas_boss_intro_so	흐음, 강해 보이는데.\n덤벼!
oas_boss_hint1_sh	꼬리 공격을 조심해!
oas_boss_hint2_sh	등에 있는 커다란 눈이\n약점인 것 같아!
oas_boss_hint3_sh	저 전갈 꼬리를 타고\n등의 눈까지 갈 수 있지 않을까?
oas_boss_hint4_sh	역시 저 커다란 눈이\n약점 아닐까…?
oas_boss_hit1_sh	굉장해!\n효과가 큰 것 같아!
oas_boss_hit1_so	역시!\n저 눈이 약점이었군!
oas_boss_hit2_so	큭, 끈질긴 녀석이네!
oas_boss_hit3_so	슬슬 끝내 볼까!
oas_boss_hit4_sh	이제 조금만 더!
oas_boss_defeat_so	미안하지만\n갈 길이 바빠서 말이야!
oas_idle_heat_so	뜨거워! 가시가 따끔거린다고!
oas_idle_shoes_so	정말, 신발 속이 모래투성이잖아!
oas_idle_beach_sh	해변이 이렇게…
oas_idle_sandfall_so	모래 폭포?
oas_idle_sandfall_sh	잠깐, 폭포 구경할 때가 아니잖아!
dinosaur_jungle	다이너소어 정글
dinosaur_jungle_description	공룡이 지배하는 숲.
din_event_trio_so	우와! 뭔가 쫓아오는데!
din_event_trio_sh	트리케라톱스야!\n몹시 화가 났어!
din_event_trio2_so	내가 뭐 잘못했나?
din_event_trio2_sh	모르겠어!\n지금은 일단 도망치자!!
din_event_trio3_so	끈질긴 녀석들이네!
din_event_trio3_sh	앞에 있는 다리까지만 도망치면\n분명 괜찮을 거야!
din_event_river_so	우와아아!\n안 돼애애애!!
din_event_river_sh	소닉!
din_event_river2_so	휴! 큰일 날 뻔했네!
din_event_river2_sh	소닉, 혹시 수영 못 해?
din_split_sh	길이 갈라져 있어.
din_split_so	어느 쪽이 나은지 알려 줘.
din_flower_sh	꽃… 마신?
din_flower_so	성가시게 생긴 녀석이네!
din_event_apato_so	이런!
din_event_apato2_so	이얏! 고마워!
din_rex_sh	불길한 예감이 들어.
din_rex_so	그래, 등골이 찌릿찌릿한데…
din_rex_lower_so	우와!\n산 넘어 산이란 건가?
din_rex_lower_sh	상당히 흥분한 모양이야!
din_rex_tail_sh	꼬리를 잘 봐!
din_rex_tail_so	알고 있다니까!
din_rex_upper_so	엄청 배가 고픈 모양이네!
din_rex_upper_sh	물리지 않게 조심해!
din_flowers_so	그럼 꽃구경이라도 가 볼까?
din_flowers_sh	정말! 태평하다니까!
din_flowerbed_so	이야!\n대단한 꽃밭이잖아!
din_flowerbed_sh	방심하지 마, 소닉!
din_majin_egg_sh	마신의 알이야.\n부숴 둬, 소닉!
din_egg_so	이건…
din_egg_sh	공룡 알이네?\n내가 마법으로 들고 갈게.
din_nest_so	여긴 공룡 알 둥지…인가?
